Id,Name,Phone,Website,Industry
001dL00002CuSw9QAF,Edge Communications,(512) 757-6000,http://edgecomm.com,Electronics
001dL00002CuSwAQAV,Burlington Textiles Corp of America,(336) 222-7000,www.burlington.com,Apparel
001dL00002CuSwBQAV,Pyramid Construction Inc.,(014) 427-4427,www.pyramid.com,Construction
001dL00002CuSwCQAV,Dickenson plc,(785) 241-6200,dickenson-consulting.com,Consulting
001dL00002CuSwDQAV,Grand Hotels & Resorts Ltd,(312) 596-1000,www.grandhotels.com,Hospitality
001dL00002CuSwEQAV,United Oil & Gas Corp.,(212) 842-5500,http://www.uos.com,Energy
001dL00002CuSwFQAV,Express Logistics and Transport,(503) 421-7800,www.expressl&t.net,Transportation
001dL00002CuSwGQAV,University of Arizona,(520) 773-9050,www.universityofarizona.com,Education
001dL00002CuSwHQAV,"United Oil & Gas, UK",+44 191 4956203,http://www.uos.com,Energy
001dL00002CuSwIQAV,"United Oil & Gas, Singapore",(650) 450-8810,http://www.uos.com,Energy
001dL00002CuSwJQAV,GenePoint,(650) 867-3450,www.genepoint.com,Biotechnology
001dL00002CuSwKQAV,sForce,(415) 901-7000,www.sforce.com,
001dL00002CuSwLQAV,Sample Account for Entitlements,,,
